Provider Org Name,rate_18_plus,rate_52_plus,rate_78_plus,Total
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.42953918403109387,0.03432220578821339,0.00019152484336155365,743.675105485232
EPSOMEDICAL GROUP,0.22596602565646645,0.03413983324136248,0.004034089925842599,144.22727272727272
SPIRE SOUTH BANK HOSPITAL,0.3171905868468538,0.03408677155837724,0.002384737678855326,136.47058823529412
SPIRE THAMES VALLEY HOSPITAL,0.45134659385759535,0.0334405916973536,0.004471786949857125,64.93333333333334
BLACKHEATH HOSPITAL,0.3379522407120924,0.03210744465460607,0.002228933207352261,98.15384615384616
UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,0.3699972633769245,0.031986775858451326,0.000835832611768769,641.3805309734513
EAST SUSSEX HEALTHCARE NHS TRUST,0.421835649890073,0.031465965860727536,0.0,1480.6415094339623
LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,0.34547611184911775,0.03134172584573986,0.0,627.9679300291546
KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,0.4140820789924931,0.031217877673046956,0.00017471562148466347,577.4224137931035
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,0.4193246523515041,0.0310433232145339,0.0,640.4895833333334
FITZWILLIAM HOSPITAL,0.3881179814821775,0.03079079187898443,0.0,211.11764705882354
NORTH WEST ANGLIA NHS FOUNDATION TRUST,0.44006632158249437,0.030776183039869825,0.0023566291202015916,702.7544483985765
EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,0.4115747051283336,0.030723241046805554,0.000412544544792314,770.1062801932367
WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,0.4173664810481046,0.030686019644265178,5.59280558473285e-05,806.704081632653
BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0.37320715235927976,0.02974419884675033,0.000596832291117992,775.3369565217391
"NUFFIELD HEALTH, GUILDFORD HOSPITAL",0.5882253183788272,0.02970255053588387,0.009615384615384616,27.375
WOODTHORPE HOSPITAL,0.2932485052879215,0.029329140906398796,0.0009644546061957111,150.84848484848484
EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,0.3361327080360395,0.028254253623495682,0.002254526761039211,715.6871794871795
MEDWAY NHS FOUNDATION TRUST,0.40782059846337865,0.02809190358954854,0.000812293298027069,987.0208333333334
SPIRE ELLAND HOSPITAL,0.3467525787327418,0.02801595408443024,0.0021666076245565043,89.15555555555555
BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,0.4815565269518721,0.027676521659226072,6.548592551225284e-05,310.0681818181818
SPIRE HULL AND EAST RIDING HOSPITAL,0.41571673778194007,0.02750617368055275,0.0059169004001175755,97.37142857142857
SPIRE SOUTHAMPTON HOSPITAL,0.6195170654202331,0.027399732588362972,0.0,172.6
OMNES HEALTHCARE LTD,0.4291689378001842,0.027307292657882575,0.002174976004837985,608.3095238095239
